id;bid_start_time;bid_end_time;amount;ccy
1;2022-07-02T15:46:24;2022-07-02T09:01:29;65241;Communications Business-focused
2;2022-07-02T06:38:17;2022-07-01T21:58:26;44976;Account
3;2022-07-02T17:48:18;2022-07-02T02:17:10;49651;Spurs Toys
4;2022-07-02T20:12:18;2022-07-02T03:46:43;13587;zero Ruble
5;2022-07-01T23:27:46;2022-07-02T06:17:45;66346;connecting Fish input
6;2022-07-02T05:58:22;2022-07-02T06:02:29;64082;Connecticut
7;2022-07-02T07:52:10;2022-07-02T15:43:58;39884;indigo real-time Branding
8;2022-07-02T19:17:18;2022-07-02T02:39:09;67752;Australian Unbranded Berkshire
9;2022-07-02T07:34:56;2022-07-02T11:43:47;99143;Borders Dynamic New
10;2022-07-01T23:19:20;2022-07-02T14:50:12;62635;SMS generation Greens
