id;productname;product_specification;actual_cost;ccy;creation_date
1;Steel;Assistant;57374;monetize Consultant wireless;2022-07-02T16:43:40
2;reboot;deposit Track actuating;64964;Division;2022-07-02T17:29:03
3;Card;navigating Michigan;32061;Korea transmitting New;2022-07-02T08:50:37
4;Generic;Lao;29161;Small digital Oklahoma;2022-07-02T11:36:39
5;throughput;Data distributed;20505;Sports COM Implementation;2022-07-02T19:24:00
6;Shirt Ethiopia;Crossroad CSS;15521;Keyboard;2022-07-01T23:17:58
7;Ball pixel;Account;68319;cross-platform;2022-07-02T01:55:16
8;online virtual;hacking;36445;Sleek metrics;2022-07-01T21:41:44
9;Data;sticky Harbors Automotive;41021;Ergonomic Ergonomic;2022-07-02T19:14:15
10;deposit;Cambridgeshire Chair;31837;Operations Chicken;2022-07-02T05:48:33
